model,R2,Q2_CV,RMSE_CV,MAE_CV
N,0.9414831236470447,0.9393746229384901,6.7178110560522155,5.350256097864931
DRSO,0.18871738467193444,0.159878677485647,25.007573971533155,19.75429000572227
N+DRSO,0.9621753823320965,0.9598272137191664,5.468478835118105,4.213327627173404
C(N),0.9427850350633258,0.9385745544193296,6.761992989807121,5.355753566607818
C(N)+DRSO,0.9637077975433215,0.9606586655941969,5.411592692814373,4.092519572625015
