N,isomers,DRSO_equality_classes,collision_deficit,equality_class_isomer_ratio,DRSO_Q2_LOO,mDRSO_Q2_LOO
6,5,5,0,1.0,0.9351356763919394,0.8082891328763512
7,9,9,0,1.0,0.7093192734756651,0.776696585244196
8,18,16,2,0.8888888888888888,0.5031526655130872,0.5790112520078505
9,35,28,7,0.8,0.3776803676644285,0.3871196076201312
10,75,49,26,0.6533333333333333,0.18077824509112828,0.17231266200247308
