n,chemical_trees,SO_JDM_distinct,DRSO_mDRSO_distinct,SDD_distinct
4,2,2,2,2
5,3,3,3,3
6,5,5,5,5
7,9,9,9,9
8,18,16,16,16
9,35,28,28,24
10,75,49,49,40
11,159,83,83,62
12,355,137,137,87
13,802,223,223,119
14,1858,350,350,152
15,4347,538,538,177
16,10359,810,809,203
17,24894,1194,1189,231
18,60523,1725,1708,249
19,148284,2452,2406,275
20,366319,3428,3323,295
