ID,Name,BP,N,m_edges,n1,n2,n3,n4,DRSO,mDRSO,SO,SDD,M1,M2,Randic,ABC,GA,R_equal,R_2,R_3,R_4,R_3_2,R_4_3,m12,m13,m14,m22,m23,m24,m33,m34,m44,WL_hash,sig_DRSO,sig_SDD,sig_SO
39,3-methyl-3-ethylpentane,391.35,8,7,4,3,0,1,16.37712176232333,3.159940645056718,24.24771742311577,19.25,32.0,34.0,3.681980515339464,5.108666090903724,6.456854249492381,0,6,0,1,0,0,3,0,1,0,0,3,0,0,0,d4b95155245e37829500ec4466ef6281,"(0, 6, 0, 1, 0, 0)",77/4,"(0, 0, 9, 0, 0, 1)"
40,"2,2,3,3-tetramethylbutane",379.65,8,7,6,0,0,2,25.461042875195194,2.2041856489108804,30.39548800319835,27.5,38.0,40.0,3.25,5.808524858402425,5.8,1,0,0,6,0,0,0,0,6,0,0,0,0,0,1,3fb0c7d705803cdca4d789e734d70166,"(1, 0, 0, 6, 0, 0)",55/2,"(0, 4, 0, 0, 0, 6)"
41,nonane,423.92,9,8,2,7,0,0,12.608386999856233,5.212783187264616,21.442698703476722,17.0,30.0,28.0,4.414213562373095,5.6568542494923815,7.885618083164127,6,2,0,0,0,0,2,0,0,6,0,0,0,0,0,d1d7f7519cbefed93da7df775ba63403,"(6, 2, 0, 0, 0, 0)",17/1,"(0, 12, 2, 0, 0, 0)"
42,2-methyloctane,415.95,9,8,3,5,1,0,15.39680678802551,4.585295230348107,23.4798830722853,19.333333333333336,32.0,30.0,4.270055610029662,5.875633848974738,7.654655746264212,4,1,2,0,1,0,1,2,0,4,1,0,0,0,0,be845f126a3d2d691943a88df93ed362,"(4, 1, 2, 0, 1, 0)",58/3,"(0, 8, 1, 2, 1, 0)"
43,3-methyloctane,416.95,9,8,3,5,1,0,14.667160626048123,4.6411728200898565,23.330797540334512,18.666666666666664,32.0,31.0,4.3080604124904465,5.76624404923356,7.7112352811751075,3,2,1,0,2,0,2,1,0,3,2,0,0,0,0,2c53399036fff01f47bf0b6682267d34,"(3, 2, 1, 0, 2, 0)",56/3,"(0, 6, 2, 1, 2, 0)"
44,4-methyloctane,415.55,9,8,3,5,1,0,14.66716062604812,4.6411728200898565,23.330797540334512,18.666666666666664,32.0,31.0,4.3080604124904465,5.76624404923356,7.7112352811751075,3,2,1,0,2,0,2,1,0,3,2,0,0,0,0,2a899418c1452c4c37327f1630113b85,"(3, 2, 1, 0, 2, 0)",56/3,"(0, 6, 2, 1, 2, 0)"
45,"2,2-dimethylheptane",405.85,9,8,4,4,0,1,20.389160969147998,3.840002277567141,27.56280218359093,23.75,36.0,34.0,4.060660171779821,6.133610117286055,7.285618083164127,3,2,0,3,0,0,1,0,3,3,0,1,0,0,0,696542d6752f474fea44ad937ea9519d,"(3, 2, 0, 3, 0, 0)",95/4,"(0, 6, 3, 0, 0, 3)"
46,"2,3-dimethylheptane",413.65,9,8,4,3,2,0,17.001054938364884,4.209483027386098,25.227947170080586,20.666666666666668,34.0,34.0,4.180739212552622,5.944583534196036,7.520681150048651,3,1,3,0,1,0,1,3,0,2,1,0,1,0,0,ee94da12ad10d8f7f941a2d062f96984,"(3, 1, 3, 0, 1, 0)",62/3,"(0, 7, 1, 3, 1, 0)"
47,"2,4-dimethylheptane",406.65,9,8,4,3,2,0,17.455580414217394,4.013684863173347,25.367981909143086,21.0,34.0,33.0,4.163902460147014,5.9850236487159165,7.4802729442751925,1,1,3,0,3,0,1,3,0,1,3,0,0,0,0,48d6e35d6ea3db17b1df755eb72ae1e5,"(1, 1, 3, 0, 3, 0)",21/1,"(0, 2, 1, 3, 3, 0)"
48,"2,5-dimethylheptane",409.15,9,8,4,3,2,0,17.455580414217394,4.013684863173346,25.367981909143083,21.0,34.0,33.0,4.163902460147014,5.9850236487159165,7.4802729442751925,1,1,3,0,3,0,1,3,0,1,3,0,0,0,0,eb83a6b311b4125c6502f21cb3de1923,"(1, 1, 3, 0, 3, 0)",21/1,"(0, 2, 1, 3, 3, 0)"
49,"2,6-dimethylheptane",408.35,9,8,4,3,2,0,18.185226576194783,3.9578072734315963,25.51706744109387,21.666666666666664,34.0,32.0,4.125897657686229,6.094413448457095,7.423693409364296,2,0,4,0,2,0,0,4,0,2,2,0,0,0,0,e93f9d3653cb29309196ff3e36a39d1d,"(2, 0, 4, 0, 2, 0)",65/3,"(0, 4, 0, 4, 2, 0)"
50,"3,3-dimethylheptane",410.45,9,8,4,4,0,1,19.09024814692221,3.8535248519052026,27.319473365726445,22.5,36.0,36.0,4.121320343559642,5.974691494688163,7.371236166328254,2,4,0,2,0,0,2,0,2,2,0,2,0,0,0,a907302bb866eafb2329200c4d0708b1,"(2, 4, 0, 2, 0, 0)",45/2,"(0, 4, 6, 0, 0, 2)"
